City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Year,Month,Pollution_Index,Temp_Bin
Bangkok,Thailand,2023-03-19,86.57,25.19,99.88,30.63,4.46,36.29,17.67,59.35,13.76,2023,3,47.169999999999995,Ameno
Istanbul,Turkey,2023-02-16,50.63,97.39,48.14,8.71,3.4,144.16,3.46,67.51,6.36,2023,2,58.738333333333344,Frio
Rio De Janeiro,Brazil,2023-11-13,130.21,57.22,98.51,9.92,0.12,179.31,25.29,29.3,12.87,2023,11,79.215,Quente
Mumbai,India,2023-03-16,119.7,130.52,10.96,33.03,7.74,38.65,23.15,99.97,7.71,2023,3,56.76666666666667,Quente
Paris,France,2023-04-04,55.2,36.62,76.85,21.85,2.0,67.09,16.02,90.28,14.16,2023,4,43.26833333333334,Ameno
Los Angeles,Usa,2023-01-05,121.28,196.39,86.17,28.74,2.64,46.86,18.53,43.01,3.96,2023,1,80.34666666666666,Ameno
Tokyo,Japan,2023-09-17,118.76,15.69,12.99,39.05,3.04,15.75,-1.37,17.76,17.66,2023,9,34.21333333333333,Muito Frio
New York,Usa,2023-11-23,72.52,23.43,92.01,15.26,4.57,106.5,32.14,76.57,9.42,2023,11,52.38166666666666,Muito Quente
Tokyo,Japan,2023-09-21,131.46,145.57,10.13,25.1,9.08,181.72,-6.2,71.42,16.81,2023,9,83.84333333333332,Muito Frio
London,Uk,2023-09-13,64.71,92.84,92.98,36.4,3.68,88.44,19.8,45.92,2.56,2023,9,63.175000000000004,Ameno
Rio De Janeiro,Brazil,2023-09-11,90.0,198.93,38.1,31.19,8.11,26.21,28.07,65.74,13.45,2023,9,65.42333333333333,Quente
Rio De Janeiro,Brazil,2023-04-26,17.13,139.82,73.14,15.31,1.09,140.73,2.07,29.88,1.85,2023,4,64.53666666666666,Frio
Mumbai,India,2023-08-28,65.36,133.71,67.95,22.34,7.46,156.39,-4.71,57.95,13.95,2023,8,75.53499999999998,Muito Frio
Seoul,South Korea,2023-01-13,57.67,125.1,72.26,44.36,2.08,118.49,-4.38,41.01,19.08,2023,1,69.99333333333333,Muito Frio
Cairo,Egypt,2023-06-18,59.3,133.7,50.14,3.48,8.96,43.33,9.14,47.53,15.13,2023,6,49.81833333333333,Frio
Paris,France,2023-05-15,135.69,165.03,30.31,32.65,6.39,130.56,15.54,31.64,14.15,2023,5,83.43833333333333,Ameno
Cairo,Egypt,2023-07-24,47.14,49.91,78.01,35.11,5.85,30.43,-0.89,18.73,10.85,2023,7,41.075,Muito Frio
Mexico City,Mexico,2023-01-26,82.4,196.86,20.76,47.75,9.57,21.74,29.97,68.17,10.87,2023,1,63.18,Quente
Istanbul,Turkey,2023-06-07,12.24,16.91,62.96,2.67,4.51,90.01,22.86,44.7,11.27,2023,6,31.55,Quente
Berlin,Germany,2023-11-02,87.33,186.95,5.26,12.98,4.48,75.76,17.93,37.55,9.89,2023,11,62.126666666666665,Ameno
Bangkok,Thailand,2023-10-25,117.5,78.71,65.64,23.42,6.84,172.34,7.16,53.45,14.53,2023,10,77.40833333333332,Frio
Beijing,China,2023-10-26,39.98,47.38,84.35,44.59,4.92,138.44,15.74,83.78,12.57,2023,10,59.94333333333333,Ameno
Sydney,Australia,2023-07-03,137.09,180.61,6.26,14.89,5.17,113.12,27.42,11.51,9.84,2023,7,76.19000000000001,Quente
Dubai,Uae,2023-04-21,80.56,129.36,18.31,12.31,9.08,91.59,20.92,26.16,18.17,2023,4,56.86833333333334,Quente
New York,Usa,2023-06-26,82.4,80.55,91.9,46.52,0.27,146.03,30.84,49.96,17.45,2023,6,74.61166666666666,Muito Quente
Seoul,South Korea,2023-01-22,96.03,170.57,18.43,20.3,0.55,141.03,-4.44,74.21,17.44,2023,1,74.48500000000001,Muito Frio
Istanbul,Turkey,2023-08-19,20.37,119.29,18.03,31.37,2.86,140.94,-3.15,43.84,10.72,2023,8,55.47666666666667,Muito Frio
Toronto,Canada,2023-03-13,63.18,196.52,29.87,3.01,6.29,98.83,10.36,50.88,9.06,2023,3,66.28333333333333,Ameno
Istanbul,Turkey,2023-01-08,54.08,58.74,81.4,39.68,5.06,26.49,22.44,13.01,13.98,2023,1,44.24166666666667,Quente
Berlin,Germany,2023-11-04,47.57,127.09,55.6,46.79,3.64,58.87,13.58,72.38,7.12,2023,11,56.593333333333334,Ameno
Rio De Janeiro,Brazil,2023-04-04,84.59,41.29,96.59,46.31,9.14,105.35,37.41,26.21,18.6,2023,4,63.87833333333333,Muito Quente
Seoul,South Korea,2023-01-14,47.79,38.17,39.92,35.19,6.69,13.69,7.0,26.77,13.1,2023,1,30.241666666666664,Frio
Mexico City,Mexico,2023-05-08,120.9,33.7,97.53,9.28,5.67,191.24,22.76,66.9,6.25,2023,5,76.38666666666667,Quente
Madrid,Spain,2023-06-28,61.28,163.36,40.2,19.43,3.64,128.34,10.56,79.73,2.6,2023,6,69.375,Ameno
Los Angeles,Usa,2023-07-17,56.85,174.8,56.22,13.99,7.85,196.95,24.84,57.9,4.97,2023,7,84.44333333333334,Quente
London,Uk,2023-07-06,53.81,196.76,38.28,15.76,9.3,54.07,21.17,93.67,4.6,2023,7,61.330000000000005,Quente
Los Angeles,Usa,2023-07-15,149.74,50.31,31.21,28.64,8.16,19.81,2.64,18.87,16.16,2023,7,47.978333333333346,Frio
Toronto,Canada,2023-09-28,72.01,191.78,95.75,21.45,2.42,181.34,10.24,42.57,12.95,2023,9,94.125,Ameno
New York,Usa,2023-10-12,62.34,38.48,57.36,32.1,2.58,154.98,37.45,48.65,17.61,2023,10,57.973333333333336,Muito Quente
Bangkok,Thailand,2023-03-13,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29,2023,3,63.43166666666667,Frio
Madrid,Spain,2023-05-26,29.11,43.8,58.04,4.54,5.25,137.61,18.7,72.8,3.03,2023,5,46.39166666666667,Ameno
Mexico City,Mexico,2023-08-18,51.47,137.97,97.83,3.45,7.12,194.18,-3.68,43.75,13.95,2023,8,82.00333333333333,Muito Frio
Dubai,Uae,2023-11-03,115.42,112.95,32.17,25.88,1.52,59.51,-0.28,31.98,9.91,2023,11,57.90833333333333,Muito Frio
Tokyo,Japan,2023-12-18,62.02,110.1,81.69,38.72,7.55,93.17,16.39,53.11,19.18,2023,12,65.54166666666667,Ameno
Rio De Janeiro,Brazil,2023-03-25,107.32,60.56,54.25,9.31,5.85,53.98,-9.3,95.38,16.97,2023,3,48.544999999999995,Muito Frio
Beijing,China,2023-06-12,109.42,144.32,88.74,36.56,2.02,188.95,3.99,72.9,2.0,2023,6,95.00166666666667,Frio
London,Uk,2023-10-27,67.97,114.57,11.57,34.89,1.6,46.13,2.36,94.86,3.01,2023,10,46.12166666666667,Frio
Johannesburg,South Africa,2023-10-09,35.41,134.39,6.99,5.4,0.77,134.92,28.65,49.11,7.49,2023,10,52.98,Quente
Mumbai,India,2023-02-15,53.54,101.44,96.54,21.05,3.31,187.25,10.27,95.18,3.96,2023,2,77.18833333333333,Ameno
Mexico City,Mexico,2023-04-11,117.95,93.33,24.62,5.84,7.3,161.08,11.33,16.16,6.77,2023,4,68.35333333333334,Ameno
Toronto,Canada,2023-12-03,24.11,168.42,57.92,23.16,8.35,178.71,1.37,70.73,0.56,2023,12,76.77833333333335,Frio
Berlin,Germany,2023-06-12,138.71,29.36,56.09,32.84,9.67,106.91,11.45,67.73,14.08,2023,6,62.26333333333334,Ameno
Paris,France,2023-10-24,11.79,147.53,18.63,25.38,5.34,31.37,-8.57,98.65,16.23,2023,10,40.00666666666667,Muito Frio
Cairo,Egypt,2023-09-07,18.33,114.51,35.85,22.13,9.76,134.35,22.23,45.8,8.86,2023,9,55.82166666666666,Quente
Johannesburg,South Africa,2023-04-06,135.47,105.67,10.03,6.66,5.58,70.22,27.81,95.91,17.88,2023,4,55.605,Quente
Bangkok,Thailand,2023-09-10,146.96,199.41,58.71,9.74,5.75,45.52,6.57,35.93,17.16,2023,9,77.68166666666666,Frio
Rio De Janeiro,Brazil,2023-02-13,40.46,44.61,62.05,27.29,1.59,110.95,16.05,10.7,1.73,2023,2,47.824999999999996,Ameno
Rio De Janeiro,Brazil,2023-09-19,85.89,100.87,45.18,20.98,0.86,157.35,33.0,17.35,15.49,2023,9,68.52166666666666,Muito Quente
